# A2XX MMIO register dump via /dev/kgsl-3d0 (KGSL backend)
# format: offset  name  = value
0x0040  RBBM_PATCH_REV          = 0x02aaaaa1
0x003b  RBBM_PERIPHID0          = 0x00004442
0x003c  RBBM_PERIPHID1          = 0x00000000
0x003d  RBBM_PERIPHID2          = 0x00000004
0x0058  RBBM_PM_OVERRIDE1       = 0x00000000
0x0059  RBBM_PM_OVERRIDE2       = 0x00000000
0x005c  RBBM_DEBUG              = 0x00000000
0x005f  RBBM_DEBUG_OUT          = 0x00000000
0x0061  RBBM_INT_CNTL           = 0x00000000
0x0062  RBBM_INT_STATUS         = 0x00000000
0x0064  RBBM_INT_ACK            = 0x00000000
0x017f  RBBM_STATUS             = 0x00000000
0x01c0  CP_RB_BASE              = 0x66000000
0x01c1  CP_RB_CNTL              = 0x0000010c
0x01c5  CP_RB_RPTR              = 0x000008ce
0x01c6  CP_RB_WPTR              = 0x00000000
0x01c7  CP_RB_WPTR_DELAY        = 0x00000000
0x01d5  CP_IB1_BASE             = 0x000c0804
0x01d6  CP_IB1_BUFSZ            = 0x10100000
0x01d7  CP_IB2_BASE             = 0x00202020
0x01d8  CP_IB2_BUFSZ            = 0x00000020
0x017e  CP_INT_CNTL             = 0x00000000
0x01f4  CP_INT_STATUS           = 0x00000000
0x0040  MH_ARBITER_CONFIG       = 0x02aaaaa1
0x040d  MH_DEBUG_CTRL           = 0x00000000
0x040f  MH_DEBUG_DATA           = 0x00000000
0x0050  MH_INTERRUPT_MASK       = 0x00000000
0x0051  MH_INTERRUPT_STATUS     = 0x00000000
0x0052  MH_AXI_ERROR            = 0x00000000
0x040c  MH_MMU_CONFIG           = 0x00000000
0x040e  MH_MMU_VA_RANGE         = 0x00000000
0x0578  SCRATCH_REG0            = 0x000021b2
0x0579  SCRATCH_REG1            = 0x80635151
0x057a  SCRATCH_REG2            = 0x80000180
0x057b  SCRATCH_REG3            = 0x292c4506
0x057c  SCRATCH_REG4            = 0xc145b736
0x057d  SCRATCH_REG5            = 0x31d7c360
0x057e  SCRATCH_REG6            = 0x63d0d0e0
0x057f  SCRATCH_REG7            = 0xa1163e1b
0x0581  SCRATCH_UMSK            = 0x00502336
0x03b7  MASTER_INT_SIGNAL       = 0x00000000
0x0e00  TC_CNTL_STATUS          = 0x00000000
0x0e1e  TP0_CHICKEN             = 0x00000002
0x0f01  RB_BC_CONTROL           = 0x00000000
