# A2XX MMIO register dump via /sys/kernel/debug/dri/0/* (mainline DRM)
# captured immediately after rendering the gl-capture test triangle
# format: offset  name  = value
0x01c0  CP_RB_BASE              = 0x66001000
0x01c1  CP_RB_CNTL              = 0x0800020c
0x01c5  CP_RB_RPTR              = 0x000002ce
0x01c6  CP_RB_WPTR              = 0x000002ce
0x017e  CP_INT_CNTL             = 0xcf800000
0x01f4  CP_INT_STATUS           = 0x00000000
0x0578  SCRATCH_REG0            = 0x00010001
0x0579  SCRATCH_REG1            = 0x00010002
0x057a  SCRATCH_REG2            = 0x00000000
0x057b  SCRATCH_REG3            = 0x00010004
0x057c  SCRATCH_REG4            = 0x00010005
0x057d  SCRATCH_REG5            = 0x00010006
0x057e  SCRATCH_REG6            = 0x00010007
0x057f  SCRATCH_REG7            = 0x00000000
0x0058  RBBM_PM_OVERRIDE1       = 0xffffffff
0x0059  RBBM_PM_OVERRIDE2       = 0x00001fff
0x005c  RBBM_DEBUG              = 0x01f80000
0x017f  RBBM_STATUS             = 0x00000110
0x0061  RBBM_INT_CNTL           = 0x00000001
0x0062  RBBM_INT_STATUS         = 0x00080000
0x0050  MH_INTERRUPT_MASK       = 0x00000007
0x0051  MH_INTERRUPT_STATUS     = 0x00000000
0x0052  MH_AXI_ERROR            = N/A
0x040c  MH_MMU_CONFIG           = 0x02aaaaa1
0x03b7  MASTER_INT_SIGNAL       = N/A
0x0e1e  TP0_CHICKEN             = 0x00000002
0x0f01  RB_BC_CONTROL           = N/A
0x0d00  SQ_GPR_MANAGEMENT       = 0x00040401
0x0d02  SQ_INST_STORE_MGMT      = 0x00000180
0x0d05  SQ_DEBUG_MISC           = 0x1e01a160
0x0dae  SQ_DEBUG_INPUT_FSM      = 0x00100000
0x0daf  SQ_DEBUG_CONST_MGR      = 0x00000101
0x0db0  SQ_DEBUG_TP_FSM         = 0x01300000
0x0db1  SQ_DEBUG_FSM_ALU_0      = 0x00000000
0x0db2  SQ_DEBUG_FSM_ALU_1      = 0x00000000
0x0db3  SQ_DEBUG_EXP_ALLOC      = 0x00186608
0x0db4  SQ_DEBUG_PTR_BUFF       = 0x00440201
0x0db5  SQ_DEBUG_GPR_VTX        = 0x403f7f7f
0x0db6  SQ_DEBUG_GPR_PIX        = 0x40400000
0x2200  VGT_CURRENT_BIN_MIN     = 0x00000000
0x2201  VGT_CURRENT_BIN_MAX     = 0x00000000
0x0c01  VSC_BIN_SIZE            = 0x00000110
0x0c00  VSC_REG_0xC00           = 0x00000000
0x0c06  VSC_PIPE_0              = 0x000000cf
0x0c09  VSC_PIPE_1              = 0x000000cf
0x0c0c  VSC_PIPE_2              = 0x000000cf
0x0c0f  VSC_PIPE_3              = 0x000000cf
0x0c12  VSC_PIPE_4              = 0x000000cf
0x0c15  VSC_PIPE_5              = 0x000000cf
0x0c18  VSC_PIPE_6              = 0x000000cf
0x0c1b  VSC_PIPE_7              = 0x000000cf
0x2209  A220_RB_LRZ_VSC_CONTROL  = 0x00000000
0x2210  A220_GRAS_CONTROL       = 0x00000000
