# A2XX MMIO register dump via /dev/kgsl-3d0 (KGSL backend)
# captured immediately after rendering the gl-capture test triangle
# format: offset  name  = value
0x0040  RBBM_PATCH_REV          = 0x02aaaaa1
0x003b  RBBM_PERIPHID0          = 0x00004442
0x003c  RBBM_PERIPHID1          = 0x00000000
0x003d  RBBM_PERIPHID2          = 0x00000004
0x0058  RBBM_PM_OVERRIDE1       = 0x00000000
0x0059  RBBM_PM_OVERRIDE2       = 0x00000000
0x005c  RBBM_DEBUG              = 0x00000000
0x005f  RBBM_DEBUG_OUT          = 0x00000000
0x0061  RBBM_INT_CNTL           = 0x00000000
0x0062  RBBM_INT_STATUS         = 0x00000000
0x0064  RBBM_INT_ACK            = 0x00000000
0x017f  RBBM_STATUS             = 0x00000000
0x01c0  CP_RB_BASE              = 0x66000000
0x01c1  CP_RB_CNTL              = 0x0000010c
0x01c5  CP_RB_RPTR              = 0x00000edf
0x01c6  CP_RB_WPTR              = 0x00000000
0x01d5  CP_IB1_BASE             = 0x000c0804
0x01d6  CP_IB1_BUFSZ            = 0x10100000
0x01d7  CP_IB2_BASE             = 0x00202020
0x01d8  CP_IB2_BUFSZ            = 0x00000020
0x017e  CP_INT_CNTL             = 0x00000000
0x01f4  CP_INT_STATUS           = 0x00000000
0x040d  MH_DEBUG_CTRL           = 0x00000000
0x040f  MH_DEBUG_DATA           = 0x00000000
0x0050  MH_INTERRUPT_MASK       = 0x00000000
0x0051  MH_INTERRUPT_STATUS     = 0x00000000
0x0052  MH_AXI_ERROR            = 0x00000000
0x040c  MH_MMU_CONFIG           = 0x00000000
0x040e  MH_MMU_VA_RANGE         = 0x00000000
0x0578  SCRATCH_REG0            = 0x0000b3ff
0x0579  SCRATCH_REG1            = 0x12340001
0x057a  SCRATCH_REG2            = 0x80000180
0x057b  SCRATCH_REG3            = 0x12340003
0x057c  SCRATCH_REG4            = 0x12340004
0x057d  SCRATCH_REG5            = 0x12340005
0x057e  SCRATCH_REG6            = 0x12340006
0x057f  SCRATCH_REG7            = 0x12340007
0x0581  SCRATCH_UMSK            = 0x00502336
0x03b7  MASTER_INT_SIGNAL       = 0x00000000
0x0e00  TC_CNTL_STATUS          = 0x00000000
0x0e1e  TP0_CHICKEN             = 0x00000002
0x0f01  RB_BC_CONTROL           = 0x00000000
0x4000  ALU_CONST_0_R           = 0x00000000
0x4001  ALU_CONST_0_G           = 0x00000000
0x4002  ALU_CONST_0_B           = 0x00000000
0x4003  ALU_CONST_0_A           = 0x00000000
0x4004  ALU_CONST_1_R           = 0x469c4000
0x4005  ALU_CONST_1_G           = 0x3f800000
0x4006  ALU_CONST_1_B           = 0x3f000000
0x4007  ALU_CONST_1_A           = 0x00000000
0x4008  ALU_CONST_2_R           = 0x40000000
0x400c  ALU_CONST_3_R           = 0x00000000
0x4080  ALU_CONST_32_R_VS       = 0x00000000
0x4081  ALU_CONST_32_G_VS       = 0x3f800000
0x4480  ALU_CONST_288_R_PS      = 0x3f800000
0x4481  ALU_CONST_288_G_PS      = 0x00000000
0x4800  TEX_FETCH_0_W0          = 0x00000000
0x4801  TEX_FETCH_0_W1          = 0x00000000
0x4802  TEX_FETCH_0_W2          = 0x00000000
0x4803  TEX_FETCH_0_W3          = 0x00000000
0x4900  BOOL_DW0                = 0x00000000
0x4901  BOOL_DW1                = 0x00000000
0x4902  BOOL_DW2                = 0x00000000
0x4903  BOOL_DW3                = 0x00000000
0x4904  BOOL_DW4                = 0x00000000
0x4905  BOOL_DW5                = 0x00000000
0x4906  BOOL_DW6                = 0x00000000
0x4907  BOOL_DW7                = 0x00000000
0x4908  LOOP_DW0                = 0x00000000
0x4909  LOOP_DW1                = 0x00000000
0x490a  LOOP_DW2                = 0x00000000
0x490b  LOOP_DW3                = 0x00000000
