# format: <mono_ts>  <name>  <off>  <old> -> <new>
639.127478542  HW_VERSION             0x0000  0x00000000 -> 0x00001100
639.127478542  PIPELINE_CFG           0x0008  0x00000000 -> 0x038061fb
639.127478542  IRQ_CLEAR              0x0018  0x00000000 -> 0x00000003
639.127478542  STOP_STATUS            0x0028  0x00000000 -> 0x00000002
639.127478542  ENCODE_OUTPUT_SIZE     0x0034  0x00000000 -> 0x00017c85
639.127478542  FE_INPUT_FORMAT        0x0038  0x00000000 -> 0x00000010
639.127478542  FE_DIMS                0x003c  0x00000000 -> 0x004f003f
639.127478542  FE_PIPELINE_MODE       0x0040  0x00000000 -> 0x00000203
639.127478542  OP_ENCODE_MODE         0x0044  0x00000000 -> 0x00000003
639.127478542  OP_GEOM[0]             0x0048  0x00000000 -> 0x0013c000
639.127478542  OP_GEOM[1]             0x004c  0x00000000 -> 0x0009e000
639.127478542  OP_GEOM[2]             0x0050  0x00000000 -> 0x0013c010
639.127478542  OP_GEOM[3]             0x0054  0x00000000 -> 0x0009e010
639.127478542  OP_FORMAT_MAGIC        0x0058  0x00000000 -> 0x03381801
639.127478542  OP_MATRIX[0]           0x005c  0x00000000 -> 0x00000303
639.127478542  OP_MATRIX[1]           0x0060  0x00000000 -> 0x00f0000f
639.127478542  OP_MATRIX[2]           0x0064  0x00000000 -> 0xf0000f00
639.127478542  OP_MATRIX[5]           0x0070  0x00000000 -> 0x0c0c0303
639.127478542  OP_MATRIX[6]           0x0074  0x00000000 -> 0xc0c03030
639.127478542  FE_BUFFER_CFG          0x0080  0x00000000 -> 0x003f003f
639.127478542  FE_Y_PING_ADDR         0x0084  0x00000000 -> 0x7c500000
639.127478542  FE_Y_PONG_ADDR         0x0088  0x00000000 -> 0x7c500000
639.127478542  FE_CBCR_PING_ADDR      0x008c  0x00000000 -> 0x7c640000
639.127478542  FE_CBCR_PONG_ADDR      0x0090  0x00000000 -> 0x7c640000
639.127478542  FE_CMD                 0x0094  0x00000000 -> 0x00000003
639.127478542  WE_CFG                 0x0098  0x00000000 -> 0x00000020
639.127478542  WE_Y_THRESHOLD         0x00c0  0x00000000 -> 0x016a0190
639.127478542  WE_CBCR_THRESHOLD      0x00c4  0x00000000 -> 0x016a0190
639.127478542  WE_Y_PING_CFG          0x00c8  0x00000000 -> 0x0027fd8e
639.127478542  WE_Y_PONG_CFG          0x00cc  0x00000000 -> 0x0027fd8e
639.127478542  WE_Y_PING_ADDR         0x00d8  0x00000000 -> 0x7c700270
639.127478542  WE_Y_PONG_ADDR         0x00dc  0x00000000 -> 0x7c700270
639.127478542  WE_Y_UB_CFG            0x00e8  0x00000000 -> 0x01ff0000
639.127478542  START_KICK             0x00f0  0x00000000 -> 0x00000001
639.127478542  DRI_INTERVAL           0x00f4  0x00000000 -> 0x00010000
639.127478542  TABLE_INDEX            0x0128  0x00000000 -> 0x00000080
639.138174690  PIPELINE_CFG           0x0008  0x038061fb -> 0x00000000
639.138174690  IRQ_CLEAR              0x0018  0x00000003 -> 0x00000400
639.138174690  ENCODE_OUTPUT_SIZE     0x0034  0x00017c85 -> 0x00000000
639.138174690  FE_INPUT_FORMAT        0x0038  0x00000010 -> 0x00000000
639.138174690  FE_DIMS                0x003c  0x004f003f -> 0x00000000
639.138174690  FE_PIPELINE_MODE       0x0040  0x00000203 -> 0x00000000
639.138174690  OP_ENCODE_MODE         0x0044  0x00000003 -> 0x00000000
639.138174690  OP_GEOM[0]             0x0048  0x0013c000 -> 0x00000000
639.138174690  OP_GEOM[1]             0x004c  0x0009e000 -> 0x00000000
639.138174690  OP_GEOM[2]             0x0050  0x0013c010 -> 0x00000000
639.138174690  OP_GEOM[3]             0x0054  0x0009e010 -> 0x00000000
639.138174690  OP_FORMAT_MAGIC        0x0058  0x03381801 -> 0x00000000
639.138174690  OP_MATRIX[0]           0x005c  0x00000303 -> 0x00000000
639.138174690  OP_MATRIX[1]           0x0060  0x00f0000f -> 0x00000000
639.138174690  OP_MATRIX[2]           0x0064  0xf0000f00 -> 0x00000000
639.138174690  OP_MATRIX[5]           0x0070  0x0c0c0303 -> 0x00000000
639.138174690  OP_MATRIX[6]           0x0074  0xc0c03030 -> 0x00000000
639.138174690  FE_BUFFER_CFG          0x0080  0x003f003f -> 0x00000000
639.138174690  FE_Y_PING_ADDR         0x0084  0x7c500000 -> 0x00000000
639.138174690  FE_Y_PONG_ADDR         0x0088  0x7c500000 -> 0x00000000
639.138174690  FE_CBCR_PING_ADDR      0x008c  0x7c640000 -> 0x00000000
639.138174690  FE_CBCR_PONG_ADDR      0x0090  0x7c640000 -> 0x00000000
639.138174690  FE_CMD                 0x0094  0x00000003 -> 0x00000000
639.138174690  WE_CFG                 0x0098  0x00000020 -> 0x00000000
639.138174690  WE_Y_THRESHOLD         0x00c0  0x016a0190 -> 0x00000000
639.138174690  WE_CBCR_THRESHOLD      0x00c4  0x016a0190 -> 0x00000000
639.138174690  WE_Y_PING_CFG          0x00c8  0x0027fd8e -> 0x00000000
639.138174690  WE_Y_PONG_CFG          0x00cc  0x0027fd8e -> 0x00000000
639.138174690  WE_Y_PING_ADDR         0x00d8  0x7c700270 -> 0x00000000
639.138174690  WE_Y_PONG_ADDR         0x00dc  0x7c700270 -> 0x00000000
639.138174690  WE_Y_UB_CFG            0x00e8  0x01ff0000 -> 0x00000000
639.138174690  START_KICK             0x00f0  0x00000001 -> 0x00000000
639.138174690  DRI_INTERVAL           0x00f4  0x00010000 -> 0x00000000
639.138174690  TABLE_INDEX            0x0128  0x00000080 -> 0x00000000
639.142915134  IRQ_CLEAR              0x0018  0x00000400 -> 0xffffffff
639.213144171  WE_Y_THRESHOLD         0x00c0  0x00000000 -> 0x016a0190
