# Gemini register snapshot — before
# Physical base 0x4600000, size 0x1000
# Time mono 219.127064105

## Named registers

  HW_VERSION             0x0000 = 0x00000000
  RESET_CMD              0x0004 = 0x00000000
  PIPELINE_CFG           0x0008 = 0x00000000
  REALTIME_CMD           0x000c = 0x00000000
  IRQ_MASK               0x0014 = 0x00000000
  IRQ_CLEAR              0x0018 = 0x00000000
  IRQ_STATUS             0x001c = 0x00000000
  STOP_REQ               0x0024 = 0x00000000
  STOP_STATUS            0x0028 = 0x00000000
  ENCODE_OUTPUT_SIZE     0x0034 = 0x00000000
  FE_INPUT_FORMAT        0x0038 = 0x00000000
  FE_DIMS                0x003c = 0x00000000
  FE_PIPELINE_MODE       0x0040 = 0x00000000
  OP_ENCODE_MODE         0x0044 = 0x00000000
  OP_GEOM[0]             0x0048 = 0x00000000
  OP_GEOM[1]             0x004c = 0x00000000
  OP_GEOM[2]             0x0050 = 0x00000000
  OP_GEOM[3]             0x0054 = 0x00000000
  OP_FORMAT_MAGIC        0x0058 = 0x00000000
  OP_MATRIX[0]           0x005c = 0x00000000
  OP_MATRIX[1]           0x0060 = 0x00000000
  OP_MATRIX[2]           0x0064 = 0x00000000
  OP_MATRIX[3]           0x0068 = 0x00000000
  OP_MATRIX[4]           0x006c = 0x00000000
  OP_MATRIX[5]           0x0070 = 0x00000000
  OP_MATRIX[6]           0x0074 = 0x00000000
  OP_MATRIX[7]           0x0078 = 0x00000000
  OP_MATRIX[8]           0x007c = 0x00000000
  FE_BUFFER_CFG          0x0080 = 0x00000000
  FE_Y_PING_ADDR         0x0084 = 0x00000000
  FE_Y_PONG_ADDR         0x0088 = 0x00000000
  FE_CBCR_PING_ADDR      0x008c = 0x00000000
  FE_CBCR_PONG_ADDR      0x0090 = 0x00000000
  FE_CMD                 0x0094 = 0x00000000
  WE_CFG                 0x0098 = 0x00000000
  WE_Y_THRESHOLD         0x00c0 = 0x00000000
  WE_CBCR_THRESHOLD      0x00c4 = 0x00000000
  WE_Y_PING_CFG          0x00c8 = 0x00000000
  WE_Y_PONG_CFG          0x00cc = 0x00000000
  WE_Y_PING_ADDR         0x00d8 = 0x00000000
  WE_Y_PONG_ADDR         0x00dc = 0x00000000
  WE_Y_UB_CFG            0x00e8 = 0x00000000
  START_KICK             0x00f0 = 0x00000000
  DRI_INTERVAL           0x00f4 = 0x00000000
  FSC_COUNT              0x0110 = 0x00000000
  FSC_THRESHOLD[0]       0x0114 = 0x00000000
  FSC_THRESHOLD[1]       0x0118 = 0x00000000
  FSC_THRESHOLD[2]       0x011c = 0x00000000
  FSC_THRESHOLD[3]       0x0120 = 0x00000000
  TABLE_SEL              0x0124 = 0x00000000
  TABLE_INDEX            0x0128 = 0x00000000
  TABLE_DATA             0x012c = (skipped, side effects)

## MMCC clock controller (selected)

  IJPEG_CC               MMCC+0x0098 = 0x80ff0000
  IJPEG_NS_REG           MMCC+0x00a0 = 0x00ff0006
  IJPEG_CC_FS            MMCC+0x00a4 = 0x80ff0000
  IJPEG_AHB_NS_REG       MMCC+0x0270 = 0x00000000
  IJPEG_AXI_NS           MMCC+0x0048 = 0x00000002
  AHB_NS_REG             MMCC+0x0008 = 0x90913c83
  AHB_EN_REG             MMCC+0x0008 = 0x90913c83
  MMSS_RESET             MMCC+0x00a8 = 0x00000000
  MISC_CC2               MMCC+0x05a0 = 0x00000300
  MMSS_FABRIC_HALT       MMCC+0x002c = 0x3fe7fcff

## Full Gemini region dump (0x000..0xFFF, 4-byte words, non-zero only)

