# format: <mono_ts>  <name>  <off>  <old> -> <new>
289.997772832  HW_VERSION             0x0000  0x00000000 -> 0x00001100
289.997772832  IRQ_MASK               0x0014  0x00000000 -> 0x00000400
289.997772832  STOP_STATUS            0x0028  0x00000000 -> 0x00000002
290.001653869  IRQ_CLEAR              0x0018  0x00000000 -> 0xffffffff
290.001653869  WE_Y_THRESHOLD         0x00c0  0x00000000 -> 0x016a0190
290.001653869  WE_CBCR_THRESHOLD      0x00c4  0x00000000 -> 0x016a0190
290.001653869  WE_Y_UB_CFG            0x00e8  0x00000000 -> 0x01ff0000
290.002587203  PIPELINE_CFG           0x0008  0x00000000 -> 0x038061fb
290.002587203  FE_INPUT_FORMAT        0x0038  0x00000000 -> 0x00000010
290.002587203  FE_DIMS                0x003c  0x00000000 -> 0x003f004f
290.002587203  FE_PIPELINE_MODE       0x0040  0x00000000 -> 0x00000203
290.002587203  OP_ENCODE_MODE         0x0044  0x00000000 -> 0x00000003
290.002587203  OP_GEOM[0]             0x0048  0x00000000 -> 0x0013b000
290.002587203  OP_GEOM[1]             0x004c  0x00000000 -> 0x0009d800
290.002587203  OP_GEOM[2]             0x0050  0x00000000 -> 0x0013b010
290.002587203  OP_GEOM[3]             0x0054  0x00000000 -> 0x0009d810
290.002587203  OP_FORMAT_MAGIC        0x0058  0x00000000 -> 0x03381801
290.002587203  OP_MATRIX[0]           0x005c  0x00000000 -> 0x00000303
290.002587203  OP_MATRIX[1]           0x0060  0x00000000 -> 0x00f0000f
290.002587203  OP_MATRIX[2]           0x0064  0x00000000 -> 0xf0000f00
290.002587203  OP_MATRIX[5]           0x0070  0x00000000 -> 0x0c0c0303
290.002587203  OP_MATRIX[6]           0x0074  0x00000000 -> 0xc0c03030
290.002587203  WE_CFG                 0x0098  0x00000000 -> 0x00000020
290.002587203  TABLE_INDEX            0x0128  0x00000000 -> 0x00000080
290.002912685  IRQ_MASK               0x0014  0x00000400 -> 0xffffffff
290.002912685  STOP_STATUS            0x0028  0x00000002 -> 0x00000000
290.002912685  FE_BUFFER_CFG          0x0080  0x00000000 -> 0x003f003f
290.002912685  FE_Y_PING_ADDR         0x0084  0x00000000 -> 0x42b04000
290.002912685  FE_CBCR_PING_ADDR      0x008c  0x00000000 -> 0x42c44000
290.002912685  FE_CMD                 0x0094  0x00000000 -> 0x00000003
290.002912685  WE_Y_PING_CFG          0x00c8  0x00000000 -> 0x001f9e70
290.002912685  WE_Y_PING_ADDR         0x00d8  0x00000000 -> 0x42dc6000
290.002912685  START_KICK             0x00f0  0x00000000 -> 0x00000001
290.015411647  STOP_STATUS            0x0028  0x00000000 -> 0x00000002
290.015411647  ENCODE_OUTPUT_SIZE     0x0034  0x00000000 -> 0x0003781c
290.022819499  STOP_REQ               0x0024  0x00000000 -> 0x00000001
290.022819499  STOP_STATUS            0x0028  0x00000002 -> 0x00000003
290.024018166  HW_VERSION             0x0000  0x00001100 -> 0x00000080
290.024018166  RESET_CMD              0x0004  0x00000000 -> 0x00000080
290.024018166  PIPELINE_CFG           0x0008  0x038061fb -> 0x00000080
290.024018166  REALTIME_CMD           0x000c  0x00000000 -> 0x00000080
290.024018166  IRQ_MASK               0x0014  0xffffffff -> 0x00000080
290.024018166  IRQ_CLEAR              0x0018  0xffffffff -> 0x00000080
290.024018166  IRQ_STATUS             0x001c  0x00000000 -> 0x00000080
290.024018166  STOP_REQ               0x0024  0x00000001 -> 0x00000080
290.024018166  STOP_STATUS            0x0028  0x00000003 -> 0x00000080
290.024018166  ENCODE_OUTPUT_SIZE     0x0034  0x0003781c -> 0x00000080
290.024018166  FE_INPUT_FORMAT        0x0038  0x00000010 -> 0x00000080
290.024018166  FE_DIMS                0x003c  0x003f004f -> 0x00000080
290.024018166  FE_PIPELINE_MODE       0x0040  0x00000203 -> 0x00000080
290.024018166  OP_ENCODE_MODE         0x0044  0x00000003 -> 0x00000080
290.024018166  OP_GEOM[0]             0x0048  0x0013b000 -> 0x00000080
290.024018166  OP_GEOM[1]             0x004c  0x0009d800 -> 0x00000080
290.024018166  OP_GEOM[2]             0x0050  0x0013b010 -> 0x00000080
290.024018166  OP_GEOM[3]             0x0054  0x0009d810 -> 0x00000080
290.024018166  OP_FORMAT_MAGIC        0x0058  0x03381801 -> 0x00000080
290.024018166  OP_MATRIX[0]           0x005c  0x00000303 -> 0x00000080
290.024018166  OP_MATRIX[1]           0x0060  0x00f0000f -> 0x00000080
290.024018166  OP_MATRIX[2]           0x0064  0xf0000f00 -> 0x00000080
290.024018166  OP_MATRIX[3]           0x0068  0x00000000 -> 0x00000080
290.024018166  OP_MATRIX[4]           0x006c  0x00000000 -> 0x00000080
290.024018166  OP_MATRIX[5]           0x0070  0x0c0c0303 -> 0x00000080
290.024018166  OP_MATRIX[6]           0x0074  0xc0c03030 -> 0x00000080
290.024018166  OP_MATRIX[7]           0x0078  0x00000000 -> 0x00000080
290.024018166  OP_MATRIX[8]           0x007c  0x00000000 -> 0x00000080
290.024018166  FE_BUFFER_CFG          0x0080  0x003f003f -> 0x00000080
290.024018166  FE_Y_PING_ADDR         0x0084  0x42b04000 -> 0x00000080
290.024018166  FE_Y_PONG_ADDR         0x0088  0x00000000 -> 0x00000080
290.024018166  FE_CBCR_PING_ADDR      0x008c  0x42c44000 -> 0x00000080
290.024018166  FE_CBCR_PONG_ADDR      0x0090  0x00000000 -> 0x00000080
290.024018166  FE_CMD                 0x0094  0x00000003 -> 0x00000080
290.024018166  WE_CFG                 0x0098  0x00000020 -> 0x00000080
290.024018166  WE_Y_THRESHOLD         0x00c0  0x016a0190 -> 0x00000080
290.024018166  WE_CBCR_THRESHOLD      0x00c4  0x016a0190 -> 0x00000080
290.024018166  WE_Y_PING_CFG          0x00c8  0x001f9e70 -> 0x00000080
290.024018166  WE_Y_PONG_CFG          0x00cc  0x00000000 -> 0x00000080
290.024018166  WE_Y_PING_ADDR         0x00d8  0x42dc6000 -> 0x00000080
290.024018166  WE_Y_PONG_ADDR         0x00dc  0x00000000 -> 0x00000080
290.024018166  WE_Y_UB_CFG            0x00e8  0x01ff0000 -> 0x00000080
290.024018166  START_KICK             0x00f0  0x00000001 -> 0x00000080
290.024018166  DRI_INTERVAL           0x00f4  0x00000000 -> 0x00000080
290.024018166  FSC_COUNT              0x0110  0x00000000 -> 0x00000080
290.024018166  FSC_THRESHOLD[0]       0x0114  0x00000000 -> 0x00000080
290.024018166  FSC_THRESHOLD[1]       0x0118  0x00000000 -> 0x00000080
290.024018166  FSC_THRESHOLD[2]       0x011c  0x00000000 -> 0x00000080
290.024018166  FSC_THRESHOLD[3]       0x0120  0x00000000 -> 0x00000080
290.024018166  TABLE_SEL              0x0124  0x00000000 -> 0x00000080
